 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Lista Morb  CID-10 e Ano processamento
Município: 420140 ARARANGUA
Período:Jan/2008-Set/2024
"Lista Morb  CID-10";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
".. Outras afecções originadas no período perinatal";4;10;12;12;7;21;23;52;26;26;20;22;42;68;57;100;211;713
"17 Malf cong deformid e anomalias cromossômicas";24;30;25;36;30;59;106;112;85;65;69;57;21;27;50;39;26;861
".. Outras malformações congênitas do sistema nerv";-;-;-;-;-;-;1;-;-;-;-;-;1;2;1;-;-;5
".. Malformações congênitas do aparelho circulat";1;1;-;-;1;-;1;-;-;-;1;1;4;1;3;-;-;14
".. Fenda labial e fenda palatina";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;3
".. Outras malformações congênitas aparelho digest";5;1;1;1;-;1;-;4;2;2;2;3;2;4;-;4;-;32
".. Testiculo não-descido";6;9;8;19;17;27;45;41;30;31;26;26;5;8;17;22;11;348
".. Outras malformações do aparelho geniturinário";1;15;9;3;5;21;41;47;40;19;32;17;7;5;14;4;8;288
".. Deformidades congênitas do quadril";1;-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;-;5
".. Deformidades congênitas dos pés";2;1;-;-;-;3;2;1;2;2;-;1;-;-;-;-;-;14
".. Outr malform e deform congên aparelho osteomusc";1;1;1;3;1;3;-;1;-;-;3;2;1;1;2;-;1;21
".. Outras malformações congênitas";6;2;6;10;6;4;16;18;10;9;5;5;1;6;11;7;6;128
".. Anomalias cromossômicas NCOP";1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"18 Sint sinais e achad anorm ex clín e laborat";144;57;74;101;43;85;145;136;229;159;286;393;144;202;275;221;184;2878
".. Dor abdominal e pélvica";2;-;3;1;1;4;3;6;2;6;5;13;13;7;8;19;3;96
".. Febre de origem desconhecida";-;-;1;-;2;1;-;-;-;3;-;-;-;-;-;1;-;8
".. Outr sist sinais achad anorm ex clín labor NCOP";142;57;70;100;40;80;142;130;227;150;281;380;131;195;267;201;181;2774
"19 Lesões enven e alg out conseq causas externas";297;759;726;747;771;1068;992;987;797;743;767;972;893;1166;1240;1180;982;15087
".. Fratura do crânio e dos ossos da face";10;6;11;6;2;8;5;9;17;18;14;15;13;34;55;45;28;296
".. Fratura do pescoço tórax ou pelve";10;34;2;2;12;27;31;38;16;23;15;20;22;16;20;40;40;368
".. Fratura do fêmur";14;60;78;90;95;121;93;122;145;108;102;129;140;152;172;154;115;1890
".. Fratura de outros ossos dos membros";109;196;254;244;274;395;343;387;273;231;295;470;405;583;589;582;463;6093
".. Fraturas envolvendo múltiplas regiões do corpo";2;48;49;83;35;11;7;9;8;15;13;6;6;1;12;9;6;320
".. Luxações entorse distensão reg esp e múlt corpo";9;46;42;40;34;54;64;56;58;38;39;33;32;47;54;37;33;716
".. Traumatismo do olho e da órbita ocular";-;-;-;-;1;3;2;-;-;-;-;-;-;1;-;-;-;7
".. Traumatismo intracraniano";61;126;86;53;44;43;42;73;32;44;38;19;33;66;27;34;22;843
".. Traumatismo de outros órgãos internos";2;15;32;33;27;35;31;30;23;38;32;24;20;19;25;16;17;419
".. Lesões esmag amput traumát reg esp e múlt corpo";4;27;19;23;25;34;37;33;42;40;52;67;67;57;54;36;20;637
".. Outr traum reg espec não espec e múltipl corpo";52;139;84;73;139;186;163;114;80;86;76;84;81;78;103;94;80;1712
".. Efeitos corpo estranho através de orifício nat";3;4;3;1;1;3;7;1;14;7;3;3;4;3;1;8;7;73
".. Queimadura e corrosões";3;8;1;10;7;-;9;2;3;6;10;4;3;8;11;7;8;100
".. Envenenamento por drogas e substâncias biológ";10;8;2;6;10;10;18;19;14;24;31;25;13;44;32;36;39;341
".. Efeitos tóxicos subst origem princ não-medicin";3;8;11;11;3;6;7;12;5;6;5;8;2;5;6;10;12;120
".. Síndromes de maus tratos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
".. Outros efeitos e não espec de causas externas";1;-;2;1;1;5;7;5;4;1;1;10;3;1;-;4;5;51
".. Cert compl prec traum compl cirúrg ass méd NCOP";4;19;32;63;58;110;116;55;49;46;34;51;47;47;79;64;85;959
".. Seqüel traum enven e outr conseq causas extern";-;15;18;8;3;17;10;22;14;12;7;4;2;4;-;4;1;141
"20 Causas externas de morbidade e mortalidade";3;1;5;-;1;2;-;2;-;-;-;-;-;-;-;-;-;14
".. Acidentes de transporte";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
".. Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
".. Todas as outras causas externas";3;1;5;-;1;2;-;-;-;-;-;-;-;-;-;-;-;12
"21 Contatos com serviços de saúde";277;229;199;205;234;203;275;267;194;162;207;150;104;161;193;143;101;3304
".. Pessoas em contato com serv saúde exame invest";57;-;-;-;2;2;4;2;2;-;-;7;2;1;5;3;5;92
".. Anticoncepção";219;216;180;174;202;148;134;143;103;77;82;86;51;91;104;101;79;2190
".. Rastreamento pré-natal e outr superv da gravid";-;-;-;-;-;-;-;-;-;-;3;3;19;-;-;-;-;25
".. Assistência e exame pós-natal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
".. Pessoas contato serv saúde cuidados proc espec";1;13;19;31;28;53;137;122;89;85;121;53;31;68;81;39;17;988
".. Pessoas contato serv saúde por outras razões";-;-;-;-;2;-;-;-;-;-;1;1;1;1;2;-;-;8
"Total";5297;5433;5040;5466;5466;6822;8125;7863;7404;6660;7455;7153;5704;7080;8051;8636;7466;115121
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
